Tue Mar  5 22:51:41 2024    output.prof

         3383 function calls (3351 primitive calls) in 5.322 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.000    0.000    5.322    5.322 {built-in method builtins.exec}
        1    0.000    0.000    5.322    5.322 e:/OneDrive - zju.edu.cn/vipa/zzp/Photovoltaic-power-generation-3D/ui/demo_UI.py:5(main)
        1    0.000    0.000    5.216    5.216 e:\OneDrive - zju.edu.cn\vipa\zzp\Photovoltaic-power-generation-3D\ui\ui_functions.py:239(run)
        1    0.000    0.000    5.216    5.216 C:\Users\admin\.conda\envs\guangfu\lib\tkinter\__init__.py:1427(mainloop)
        1    5.184    5.184    5.216    5.216 {method 'mainloop' of '_tkinter.tkapp' objects}
        1    0.000    0.000    0.106    0.106 e:\OneDrive - zju.edu.cn\vipa\zzp\Photovoltaic-power-generation-3D\ui\ui_functions.py:93(__init__)
        1    0.000    0.000    0.087    0.087 C:\Users\admin\.conda\envs\guangfu\lib\tkinter\__init__.py:2250(__init__)
        1    0.087    0.087    0.087    0.087 {built-in method _tkinter.create}
      160    0.043    0.000    0.043    0.000 {method 'call' of '_tkinter.tkapp' objects}
        5    0.000    0.000    0.032    0.006 C:\Users\admin\.conda\envs\guangfu\lib\tkinter\__init__.py:1887(__call__)
        1    0.000    0.000    0.023    0.023 e:\OneDrive - zju.edu.cn\vipa\zzp\Photovoltaic-power-generation-3D\ui\ui_functions.py:1015(on_closing)
        1    0.000    0.000    0.023    0.023 C:\Users\admin\.conda\envs\guangfu\lib\tkinter\__init__.py:2308(destroy)
       34    0.000    0.000    0.016    0.000 C:\Users\admin\.conda\envs\guangfu\lib\tkinter\__init__.py:2560(__init__)
     34/3    0.000    0.000    0.013    0.004 C:\Users\admin\.conda\envs\guangfu\lib\tkinter\__init__.py:2577(destroy)
       18    0.000    0.000    0.007    0.000 C:\Users\admin\.conda\envs\guangfu\lib\tkinter\__init__.py:2631(__init__)
        7    0.000    0.000    0.006    0.001 C:\Users\admin\.conda\envs\guangfu\lib\tkinter\__init__.py:3130(__init__)
        3    0.000    0.000    0.006    0.002 e:\OneDrive - zju.edu.cn\vipa\zzp\Photovoltaic-power-generation-3D\ui\ui_functions.py:891(get_demo_input)
        3    0.000    0.000    0.004    0.001 e:\OneDrive - zju.edu.cn\vipa\zzp\Photovoltaic-power-generation-3D\ui\ui_functions.py:629(draw_roofscene)
       27    0.000    0.000    0.004    0.000 C:\Users\admin\.conda\envs\guangfu\lib\tkinter\__init__.py:2768(_create)
        1    0.000    0.000    0.004    0.004 C:\Users\admin\.conda\envs\guangfu\lib\tkinter\__init__.py:3954(__init__)
       19    0.000    0.000    0.003    0.000 C:\Users\admin\.conda\envs\guangfu\lib\tkinter\__init__.py:2808(create_text)
        1    0.000    0.000    0.003    0.003 C:\Users\admin\.conda\envs\guangfu\lib\tkinter\__init__.py:3270(__init__)
        1    0.000    0.000    0.002    0.002 C:\Users\admin\.conda\envs\guangfu\lib\tkinter\__init__.py:1608(_report_exception)
        1    0.000    0.000    0.002    0.002 C:\Users\admin\.conda\envs\guangfu\lib\tkinter\__init__.py:2340(report_callback_exception)
        1    0.000    0.000    0.002    0.002 C:\Users\admin\.conda\envs\guangfu\lib\traceback.py:87(print_exception)
        1    0.000    0.000    0.002    0.002 C:\Users\admin\.conda\envs\guangfu\lib\tkinter\__init__.py:3984(destroy)
       17    0.000    0.000    0.001    0.000 C:\Users\admin\.conda\envs\guangfu\lib\tkinter\__init__.py:1639(configure)
       17    0.000    0.000    0.001    0.000 C:\Users\admin\.conda\envs\guangfu\lib\tkinter\__init__.py:1626(_configure)
        1    0.000    0.000    0.001    0.001 C:\Users\admin\.conda\envs\guangfu\lib\traceback.py:468(__init__)
        1    0.000    0.000    0.001    0.001 C:\Users\admin\.conda\envs\guangfu\lib\traceback.py:321(extract)
       12    0.000    0.000    0.001    0.000 C:\Users\admin\.conda\envs\guangfu\lib\traceback.py:285(line)
        3    0.000    0.000    0.001    0.000 C:\Users\admin\.conda\envs\guangfu\lib\linecache.py:15(getline)
